LBP,Labels
"[[25  8  9 ...  3  0  0]
 [ 1 25 25 ...  4  1  4]
 [ 0 25 25 ...  3  4  5]
 ...
 [ 0  0  2 ... 25  2  1]
 [ 0  1  1 ...  4  3  0]
 [ 1 25  2 ...  4  2  0]]",0
"[[ 1  3  5 ...  0  0  0]
 [ 0  4  5 ...  0  0  1]
 [ 0  4  4 ...  1  0  0]
 ...
 [ 0  0  1 ... 25  2  1]
 [ 0  0  1 ...  5  1  1]
 [ 1  1  1 ...  4  2  1]]",0
"[[ 1  4  3 ... 25 25  7]
 [25  9 10 ...  4 25  8]
 [ 9 10 11 ...  5 25  9]
 ...
 [ 0  0  1 ... 25  2  1]
 [ 0  0  1 ...  4  2  1]
 [ 1  2  2 ...  4  2  1]]",0
"[[ 5  0  1 ...  6  0  0]
 [ 8  1  1 ...  9 25  5]
 [ 9  6  3 ... 25 25  7]
 ...
 [ 0  0  0 ...  6  2  1]
 [ 0  0  1 ...  6  2  1]
 [ 0  0  0 ...  6  2  1]]",0
"[[ 5  8  9 ... 25 25  3]
 [ 5  9 10 ...  3  3  3]
 [25 10 11 ...  3  3  3]
 ...
 [ 0  1  0 ... 25  2  1]
 [ 0  0  0 ...  4  3  1]
 [ 0  1  0 ...  4  2  1]]",0
"[[ 4  5  7 ...  1  0  0]
 [ 3 25  7 ...  3 25  5]
 [ 4  6  7 ...  1 25 25]
 ...
 [ 0  0  1 ... 25  2  1]
 [ 0  0  0 ...  4  2  1]
 [ 0  0  0 ...  5  2  0]]",0
"[[ 1 25  6 ... 25 25 25]
 [ 4  9 10 ... 25 25 25]
 [ 7 10  9 ... 25 25 25]
 ...
 [ 0  0  1 ... 25  2  0]
 [ 0  0  1 ...  4  2  1]
 [ 0  1  1 ...  4  2  1]]",0
"[[25 25  3 ...  4  4  7]
 [ 0  4 25 ...  4  4  8]
 [ 1  3 11 ...  4  4  0]
 ...
 [ 0  0  0 ... 25  2  1]
 [ 0  0  1 ... 25  2  1]
 [ 0  1  1 ... 25  2  1]]",0
"[[ 2 25 25 ...  4  1 25]
 [ 0  2 25 ...  3  3 25]
 [ 0  0 25 ... 25  0 25]
 ...
 [ 1  1  2 ... 25  2  1]
 [ 1  2  2 ...  4  2  1]
 [ 0  2  2 ...  4  2  1]]",0
"[[ 1  1  6 ... 25 25  1]
 [ 0  3  4 ...  5  5  4]
 [ 1  8  7 ...  3 25 25]
 ...
 [ 0  0 25 ... 25  2  1]
 [ 0  0  1 ...  4  2  1]
 [ 0  0  0 ...  3  1  0]]",0
