LBP,Labels
"[[ 1 25  9 ...  9  3  3]
 [ 1  8  7 ... 25  5  4]
 [ 3  9 11 ...  5  6  0]
 ...
 [ 0  0  2 ... 25  8  7]
 [ 0  1  1 ... 10  9  7]
 [ 0  0  1 ...  9  8  6]]",2
"[[ 7  3  4 ... 25 25  3]
 [ 8  6  5 ... 25 25  3]
 [ 9 25 25 ... 25  3  3]
 ...
 [ 0  0  1 ... 11 10  9]
 [ 0  1 25 ... 10  9 25]
 [ 0  0  2 ... 25 25 25]]",2
"[[ 0  0  0 ... 25  8  7]
 [ 0  0  0 ... 25 25  8]
 [ 4  0  0 ... 25 25 25]
 ...
 [ 0  1 25 ... 11 10  9]
 [ 0  1 25 ... 10  9  8]
 [ 0  0  1 ...  9  7  7]]",2
"[[25  2  2 ... 25  8  7]
 [25  3  2 ... 25  9  8]
 [25  2  1 ...  1 10  9]
 ...
 [ 4  5  6 ...  7  9  7]
 [ 2  4  4 ...  9  9  8]
 [ 0  0  2 ...  7  8  7]]",2
"[[ 0  8  9 ...  1  0  0]
 [ 8  9 10 ...  2 25 25]
 [ 9 10 25 ... 25 10  9]
 ...
 [ 1  4  5 ...  0  4 25]
 [ 0  0  0 ...  0  5  8]
 [ 0  2  3 ...  0  4  3]]",2
"[[ 7  8  9 ...  9  8  7]
 [ 8 25  4 ... 10  9  8]
 [ 9 25  3 ... 11 10  1]
 ...
 [ 5  5  6 ... 10  9 25]
 [ 3  4  6 ...  7  6  4]
 [ 0  0  3 ...  4  8  7]]",2
"[[25 25  0 ...  0  1  2]
 [25 25 25 ...  0  0  2]
 [ 0 25 11 ... 25 10  9]
 ...
 [ 4  6  6 ... 25 25  3]
 [ 0  4  5 ... 25  4  0]
 [ 0  1  1 ...  1  0  0]]",2
"[[25  0  0 ...  9  8  7]
 [ 0  1  5 ...  0  0  8]
 [ 1 25 25 ... 11 10  9]
 ...
 [ 4  6  8 ... 11 10  9]
 [ 0  4  5 ... 10  9  8]
 [ 0  0  2 ...  1  3  2]]",2
"[[ 7 25  3 ...  6  6  7]
 [25 25  4 ...  7  8  8]
 [25  5  5 ...  9  9  9]
 ...
 [ 4  6  6 ... 11 25  0]
 [ 0  5 25 ... 10 25  0]
 [ 0  0  0 ...  9  8  0]]",2
"[[ 7  8  9 ...  3  3  3]
 [ 0  9  9 ... 10  5  4]
 [ 1 10 11 ...  6  6  5]
 ...
 [ 0  0  1 ... 25 25  5]
 [ 0  0  1 ... 10  9  7]
 [ 0  1  2 ...  9  8  7]]",2
"[[ 1 25  9 ...  3  3  1]
 [ 0  0  0 ...  0  0  0]
 [ 0  1  3 ...  1  0  0]
 ...
 [ 0  3  5 ... 10  6  1]
 [ 2  3 25 ...  9  7  2]
 [ 1  2  2 ... 10  6  4]]",2
"[[25 25 25 ...  1  0  1]
 [25  9 10 ...  1  2  1]
 [ 3 10 11 ... 11  2  0]
 ...
 [ 5  5  6 ...  9  9  8]
 [ 0  4 25 ...  8  8  3]
 [ 0  3  3 ...  7  3  0]]",2
"[[ 5  4  5 ...  0  0  7]
 [ 8  5  0 ...  1  1  2]
 [25  3  0 ... 25 25 25]
 ...
 [ 0  0  0 ... 11 10  9]
 [ 1  1  2 ... 10  9  8]
 [ 1  0  0 ...  9  8  7]]",2
"[[25  6  3 ...  9  4  4]
 [ 0  8  9 ...  4  4  5]
 [ 0  0 10 ...  3  0  0]
 ...
 [ 1  5  6 ... 25 25  6]
 [ 1 25 25 ... 10  9  4]
 [ 0  1  1 ... 25 25  0]]",2
"[[5 2 0 ... 6 6 7]
 [1 1 0 ... 7 8 8]
 [3 3 0 ... 9 9 9]
 ...
 [3 5 6 ... 5 2 2]
 [1 2 4 ... 5 3 1]
 [0 0 1 ... 5 2 0]]",2
"[[25  0  0 ... 25  8  7]
 [25  5  4 ... 25  9  8]
 [25  4  4 ... 25 10  9]
 ...
 [ 4  6  8 ...  1  5  9]
 [ 0  4  5 ... 25 25  8]
 [ 0  0  0 ... 25 25  7]]",2
"[[ 7  8  7 ...  9  8 25]
 [ 8  8  7 ... 10  9  1]
 [ 8  8  7 ... 25 25 25]
 ...
 [ 4  5  5 ...  9  2  0]
 [ 0  2  5 ...  9  2  0]
 [ 0  0  3 ...  6  2  1]]",2
"[[ 7  8  9 ...  6  6  7]
 [ 7  8  6 ...  7  8  8]
 [ 7  6  6 ...  9  9  5]
 ...
 [ 2  4 25 ... 11 10  9]
 [25 25 25 ... 25 25 25]
 [ 0  2  2 ...  2  0  0]]",2
"[[ 2  4  4 ... 25  8  7]
 [ 0  0  0 ...  4  9  8]
 [ 0  0  0 ...  3 25  9]
 ...
 [ 5  6  6 ... 25 25  1]
 [ 1  3  5 ... 25 25  1]
 [ 0  0  1 ... 25  1  1]]",2
"[[ 0  0  5 ... 25 25 25]
 [ 1  6  7 ... 25  9  3]
 [ 9  8 25 ... 25 25 25]
 ...
 [ 4  5  5 ...  9  2  0]
 [ 2  4  4 ... 10  9  7]
 [ 0  0  0 ...  9  8  7]]",2
"[[ 0  0  0 ...  0  0  0]
 [25  5 25 ...  0  0  0]
 [25  5 25 ... 11  0  1]
 ...
 [ 5  5  5 ... 25  5  2]
 [ 0  2  4 ...  9  5  2]
 [ 0  1  1 ...  8  5  1]]",2
"[[ 4  5 25 ...  3  0  0]
 [ 6  8  9 ...  4  4 25]
 [ 7 25 25 ...  6  6  9]
 ...
 [ 4  5  6 ... 25 25  2]
 [ 1  4  6 ...  1  0  8]
 [ 0  1  0 ...  0  0  7]]",2
"[[ 4  4 25 ...  1  1  0]
 [ 5  6 25 ...  5  9  8]
 [ 3  3  4 ... 25 10  9]
 ...
 [ 4  6  6 ... 11 10  9]
 [ 1  4  5 ... 25  9  8]
 [ 0  0 25 ... 25  4 25]]",2
"[[ 0  0 25 ...  3  0  0]
 [ 1 25  9 ...  4  4  5]
 [ 0 10 25 ...  4  4  9]
 ...
 [ 4  5  5 ...  7  6  6]
 [ 2  2  5 ...  6  5  5]
 [ 2  2  2 ... 25 25 25]]",2
"[[ 2  2  9 ...  5  0  0]
 [ 1  2 25 ...  1  1  1]
 [ 0 25 25 ...  6 10  9]
 ...
 [ 2  4 25 ...  0  7  8]
 [ 0  2  3 ...  9  8  7]
 [ 0  1  2 ...  9  8  6]]",2
"[[ 0  0  1 ...  9  8  7]
 [ 8 25 25 ... 10  9  8]
 [ 9 10 25 ... 11 10  9]
 ...
 [ 1  4  5 ...  8  7  2]
 [ 0  2  3 ...  8  6  5]
 [ 0  2  2 ...  7  5 25]]",2
"[[ 0  0  1 ...  5  8  7]
 [ 0  0  0 ...  6  9  8]
 [ 2  5  7 ...  7 10  9]
 ...
 [ 0  0  0 ... 11 10  9]
 [ 1  0  0 ... 10  9  7]
 [ 0  0  2 ...  9  8 25]]",2
"[[ 7  0  0 ...  9  8  7]
 [ 0  2  3 ... 10  9  8]
 [ 2  7  7 ...  0 10  9]
 ...
 [ 1  3  5 ... 25  9  8]
 [ 0  0  1 ... 10  8  4]
 [ 0  2  2 ...  9  7  0]]",2
